geom,angle,chord,ok,cd_ind,cd_total,span_efficiency,l_over_d,cl,cm,x_np,CLa,Cma,Clp,Cmq,Cnb,elevon_sym.CL,elevon_sym.Cm,elevon_diff.Cl,elevon_diff.Cn,elevon_diff.CY,hinge_moments.elevon_sym,hinge_moments.elevon_diff,seconds_avl
lhs30s2000:04,-2.0,48,True,0.0050702,0.012001072640853108,0.709,-15.699430012499839,-0.18841,0.08327,0.234381,3.396296,-1.37006,-0.268215,-3.248651,0.002504,0.012062,-0.006926,-0.002635,-4.5e-05,-0.000262,1.066e-06,-0.000346,85.22767359199497
lhs30s2000:04,0.0,6,True,0.0017511,0.008125775045047835,0.316,-9.157280331720278,-0.07441,0.03713,0.235128,3.406822,-1.378687,-0.267886,-3.251209,0.001724,0.011095,-0.006524,-0.002429,3e-05,-0.00039,-0.0002424,-0.0005057,1.4080461869962164
lhs30s2000:04,0.0,12,True,0.0017734,0.008133510249118108,0.2877,-8.772350167965456,-0.07135,0.03604,0.23484,3.410026,-1.378295,-0.267962,-3.251128,0.00178,0.011667,-0.006763,-0.002548,2.3e-05,-0.00039,-0.0001774,-0.0003933,6.932066646993917
lhs30s2000:04,0.0,24,True,0.0018109,0.008164642220782338,0.274,-8.588251402065856,-0.07012,0.03549,0.23478,3.411697,-1.378615,-0.267998,-3.252571,0.001802,0.011988,-0.006902,-0.002614,1.7e-05,-0.000389,-0.0001495,-0.000369,24.11961692100158
lhs30s2000:04,0.0,48,True,0.0018239,0.008174600578499502,0.2683,-8.506837653071546,-0.06954,0.03527,0.234749,3.412513,-1.378766,-0.268013,-3.253273,0.001812,0.012123,-0.006949,-0.002642,1.3e-05,-0.000388,-0.0001282,-0.0003476,85.04263650700159
lhs30s2000:04,2.0,6,True,0.0012567,0.007421343842510968,0.1582,6.012388180211724,0.04462,-0.01106,0.235347,3.41115,-1.381724,-0.266474,-3.253296,0.002131,0.011115,-0.006533,-0.002431,7.2e-05,-0.000502,-0.0003312,-0.0005067,1.4271748979954282
lhs30s2000:04,2.0,12,True,0.0013413,0.007514605253027238,0.1697,6.358284752316425,0.04778,-0.01214,0.235064,3.413788,-1.381131,-0.266521,-3.252977,0.002206,0.011689,-0.006772,-0.00255,7e-05,-0.000509,-0.0002958,-0.0003941,6.775165971004753
lhs30s2000:04,2.0,24,True,0.0013984,0.007575578229031292,0.1723,6.477393344306433,0.04907,-0.0127,0.235002,3.4153,-1.381378,-0.266542,-3.254346,0.002236,0.012011,-0.006911,-0.002616,6.8e-05,-0.000512,-0.0002783,-0.0003698,24.29226279699651
lhs30s2000:04,2.0,48,True,0.0014211,0.007599941141850362,0.1741,6.53689273018559,0.04968,-0.01292,0.234971,3.416066,-1.381507,-0.266552,-3.255031,0.002251,0.012146,-0.006958,-0.002644,6.5e-05,-0.000512,-0.0002573,-0.0003483,85.3766097819971
lhs30s2000:04,4.0,6,True,0.0035506,0.009951406643066957,0.7455,16.438882046285535,0.16359,-0.05926,0.235361,3.402982,-1.378497,-0.26377,-3.252096,0.003698,0.011103,-0.006528,-0.002428,0.000107,-0.000613,-0.0004191,-0.0005064,1.4317698899976676
lhs30s2000:04,4.0,12,True,0.0037298,0.010141406721312172,0.742,16.450380562038465,0.16683,-0.06031,0.235088,3.404954,-1.377699,-0.263788,-3.251529,0.003796,0.011675,-0.006767,-0.002546,0.000111,-0.000627,-0.0004135,-0.000394,6.796258019996458
