geom,angle,span,ok,cd_ind,cd_total,span_efficiency,l_over_d,cl,cm,x_np,CLa,Cma,Clp,Cmq,Cnb,elevon_sym.CL,elevon_sym.Cm,elevon_diff.Cl,elevon_diff.Cn,elevon_diff.CY,hinge_moments.elevon_sym,hinge_moments.elevon_diff,seconds_avl
lhs30s2000:03,2.0,8,True,0.0019272,0.007869714696021515,0.5246,12.774287745249813,0.10053,-0.03136,0.284475,3.39153,-1.407727,-0.261298,-3.459246,0.00124,0.009682,-0.005937,-0.002209,7.7e-05,-0.000345,-0.0002974,-0.0003054,78.02674762000242
lhs30s2000:03,4.0,1,True,0.0057082,0.011854640378874903,0.8807,18.807824857961705,0.22296,-0.0824,0.285138,3.428943,-1.42657,-0.265238,-3.501519,0.002733,0.009744,-0.00596,-0.002247,0.000114,-0.000453,-0.0004022,-0.0003117,1.2238446609990206
lhs30s2000:03,4.0,2,True,0.005663,0.01182742261052705,0.8668,18.654106415680733,0.22063,-0.08134,0.28481,3.399787,-1.412816,-0.261616,-3.476238,0.002786,0.009695,-0.005942,-0.002223,0.000113,-0.000447,-0.0003903,-0.0003082,6.433992589001718
lhs30s2000:03,4.0,4,True,0.0056295,0.011796332867848688,0.86,18.59730498093418,0.21938,-0.08075,0.284612,3.385361,-1.405841,-0.259767,-3.463617,0.002814,0.009672,-0.005933,-0.002211,0.000113,-0.000445,-0.000384,-0.0003062,22.749529099997744
lhs30s2000:03,4.0,8,True,0.0056102,0.01178225113394394,0.8567,18.563515368458,0.21872,-0.08042,0.284501,3.378306,-1.402366,-0.258846,-3.457392,0.002827,0.009658,-0.005927,-0.002205,0.000112,-0.000444,-0.0003806,-0.000305,77.41267124300066
lhs30s2000:04,-2.0,1,True,0.0050483,0.012134532755026448,0.7258,-15.739378174317164,-0.19099,0.08441,0.234673,3.413473,-1.378708,-0.272043,-3.26204,0.002495,0.011629,-0.006744,-0.002551,-3.1e-05,-0.00027,-6.136e-05,-0.0003936,1.3450454300036654
lhs30s2000:04,-2.0,2,True,0.0050133,0.011981438114575384,0.7217,-15.869547393371356,-0.19014,0.08401,0.234464,3.393712,-1.369502,-0.268141,-3.246429,0.002482,0.011611,-0.00674,-0.00254,-3e-05,-0.00027,-5.869e-05,-0.0003916,6.825129992001166
lhs30s2000:04,-2.0,4,True,0.004998,0.011969585943016751,0.7202,-15.854349590991061,-0.18977,0.08384,0.234352,3.383684,-1.364806,-0.266157,-3.238617,0.002469,0.011604,-0.006739,-0.002536,-3e-05,-0.000272,-5.733e-05,-0.0003907,23.31097653699544
lhs30s2000:04,-2.0,8,True,0.0049918,0.011973656331249239,0.7196,-15.836432477615341,-0.18962,0.08378,0.234297,3.378528,-1.362408,-0.265158,-3.234685,0.002456,0.0116,-0.006738,-0.002533,-3e-05,-0.000273,-5.646e-05,-0.0003902,82.75717027499923
lhs30s2000:04,0.0,1,True,0.0017899,0.008226140020267414,0.2869,-8.694235671139845,-0.07152,0.03612,0.235048,3.429743,-1.38749,-0.27186,-3.266655,0.001791,0.011685,-0.006767,-0.002558,2.3e-05,-0.00039,-0.000181,-0.0003953,1.2859536469986779
