geom,angle,chord,span,ok,cd_ind,cd_total,span_efficiency,l_over_d,cl,cm,x_np,CLa,Cma,Clp,Cmq,Cnb,elevon_sym.CL,elevon_sym.Cm,elevon_diff.Cl,elevon_diff.Cn,elevon_diff.CY,hinge_moments.elevon_sym,hinge_moments.elevon_diff,seconds_avl
lhs30s2000:01,-2.0,16,6,True,0.00422,0.010957999328373672,0.6646,-15.5092179609782,-0.16995,0.08532,0.285772,3.368129,-1.529579,-0.258163,-3.554434,0.002309,0.0139,-0.008732,-0.003094,-0.000106,-5.7e-05,-9.078e-05,-0.000409,83.43673518799915
lhs30s2000:01,0.0,8,2,True,0.0014554,0.007728820312892156,0.1929,-7.014007028934847,-0.05421,0.0328,0.286392,3.390864,-1.543245,-0.260599,-3.568726,0.001596,0.013562,-0.00858,-0.003024,-2.5e-05,-0.000219,-0.0002909,-0.0004779,2.9920509369985666
lhs30s2000:01,0.0,8,4,True,0.0014524,0.007718509645365742,0.193,-7.015603074683221,-0.05415,0.03277,0.28619,3.382068,-1.538156,-0.258776,-3.559514,0.001567,0.01355,-0.008574,-0.003018,-2.5e-05,-0.000219,-0.0002895,-0.0004772,11.657648572003382
lhs30s2000:01,0.0,8,6,True,0.0014518,0.0077434501665925755,0.1932,-6.991715428553438,-0.05414,0.03276,0.286123,3.379104,-1.536445,-0.258159,-3.556458,0.001551,0.013546,-0.008572,-0.003016,-2.4e-05,-0.00022,-0.000289,-0.000477,23.94612888700067
lhs30s2000:01,0.0,12,2,True,0.0014835,0.007753520696772832,0.1843,-6.849791478870421,-0.05311,0.03225,0.286319,3.392379,-1.543539,-0.260622,-3.56964,0.001636,0.013772,-0.008653,-0.003067,-3.4e-05,-0.000208,-0.0002244,-0.0004078,6.752978761000122
lhs30s2000:01,0.0,12,4,True,0.0014766,0.007739243603436909,0.1843,-6.8507986977505695,-0.05302,0.0322,0.286121,3.383553,-1.538457,-0.258801,-3.560296,0.001617,0.013758,-0.008646,-0.00306,-3.3e-05,-0.000208,-0.0002235,-0.0004072,23.802480467998976
lhs30s2000:01,0.0,12,6,True,0.0014749,0.007763015643902351,0.1844,-6.8285319045618555,-0.05301,0.03219,0.286054,3.380583,-1.536746,-0.258186,-3.557199,0.001606,0.013754,-0.008644,-0.003058,-3.3e-05,-0.000209,-0.0002232,-0.0004071,49.76608466899779
lhs30s2000:01,0.0,16,2,True,0.0015089,0.007776533008695935,0.1762,-6.7176465324050945,-0.05224,0.03185,0.286303,3.39319,-1.543823,-0.260634,-3.57048,0.00165,0.013975,-0.008763,-0.00311,-4e-05,-0.000202,-0.0002254,-0.000411,11.273597367999173
lhs30s2000:01,0.0,16,4,True,0.0014992,0.007759435938347022,0.1761,-6.719560598770442,-0.05214,0.03179,0.286109,3.384321,-1.538742,-0.258814,-3.561053,0.001635,0.01396,-0.008756,-0.003103,-3.9e-05,-0.000202,-0.0002246,-0.0004105,39.85614536399953
lhs30s2000:01,0.0,16,6,True,0.0014965,0.007782157327428207,0.1762,-6.697371667918239,-0.05212,0.03178,0.286042,3.38135,-1.537034,-0.258199,-3.557938,0.001626,0.013955,-0.008753,-0.003101,-3.9e-05,-0.000202,-0.0002243,-0.0004104,83.78625024699795
