cache_key,sample_id,tag,nchordwise,spanwise,cspace,alpha_deg,control_input_deg,diff_input_deg,status,ok,CLa,Clp,Cma,Cmq,Cnb,altitude_m,avl_version,b_ref,beta_deg,c_ref,cache_hit,cd_ind,cd_total,cl,cm,elevon_diff.CY,elevon_diff.Cl,elevon_diff.Cn,elevon_sym.CL,elevon_sym.Cm,geom_config_sha256,hinge_moments.elevon_diff,hinge_moments.elevon_sym,l_over_d,n_sections,n_strips,n_vortices,s_ref,seconds_avl,seconds_total,span_efficiency,src_git_sha,strips_expected,velocity_mps,viscous,vortices_expected,x_np
2e70c36c7bf29967f9ad866d,lhs30s2000:13,stage0_scale,48,2,1.0,4.0,4.0,4.0,SUCCESS,True,3.644736,-0.283496,-1.394156,-3.091944,0.003379,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,1.6585,0.0,0.57986,False,0.0039565,0.010694971223087147,0.18897,-0.06384,-0.000384,-0.002794,2.4e-05,0.012448,-0.006633,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-0.0002023,-0.0002535,17.6690517494869,29,112,5376,0.72307,82.56844052199813,82.56844327599902,0.7566,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,112,28.0,True,5376,0.221802
e37f13cc9524846d81430ed0,lhs30s2000:14,stage0_scale,48,2,1.0,4.0,4.0,4.0,SUCCESS,True,4.286701,-0.356781,-2.516993,-6.18736,0.003232,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,2.3053,0.0,0.52855,False,0.0038517,0.010823858767007293,0.25074,-0.12874,-0.000123,-0.001653,-6.9e-05,0.005576,-0.004446,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-5.553e-05,-8.853e-05,23.165490736473046,29,112,5376,0.91286,82.36249189799855,82.36249412100005,0.8949,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,112,28.0,True,5376,0.310342
24a5b4c365d8370d6b0116df,lhs30s2000:15,stage0_scale,48,2,1.0,4.0,4.0,4.0,SUCCESS,True,3.990273,-0.305902,-2.221751,-5.395042,0.003078,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,2.1399,0.0,0.6183,False,0.003155,0.009722800624725976,0.19222,-0.08917,-0.000243,-0.002202,-4e-05,0.007453,-0.005377,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-0.0001055,-0.0002239,19.770023825354073,29,112,5376,0.9679,82.6588318810027,82.6588343149997,0.7736,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,112,28.0,True,5376,0.344263
68e5dd126c78dc01308510eb,lhs30s2000:16,stage0_scale,48,2,1.0,4.0,4.0,4.0,SUCCESS,True,3.763785,-0.293596,-1.722045,-4.084253,0.003078,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,1.7779,0.0,0.57421,False,0.0036046,0.010223393011554555,0.19579,-0.07426,-0.000532,-0.002491,1.3e-05,0.00997,-0.006231,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-0.0001646,-0.0002504,19.15117610941071,29,112,5376,0.81117,82.49793335700087,82.49793610699999,0.8654,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,112,28.0,True,5376,0.262719
3af45cdf12f20c9c0fec8d62,lhs30s2000:17,stage0_scale,48,2,1.0,4.0,4.0,4.0,SUCCESS,True,4.279612,-0.345391,-2.777047,-7.131545,0.004248,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,1.937,0.0,0.47686,False,0.003231,0.010372004604574558,0.20503,-0.11478,-0.000622,-0.002028,4e-05,0.006955,-0.005868,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-0.0001411,-0.0002698,19.767634880298047,29,112,5376,0.70565,82.64129304500239,82.64129515799868,0.7777,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,112,28.0,True,5376,0.309433
824f46c66c644d9a22b60b7a,lhs30s2000:18,stage0_scale,48,2,1.0,4.0,4.0,4.0,SUCCESS,True,4.655663,-0.407165,-3.825657,-11.090176,0.003741,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,2.4397,0.0,0.42298,False,0.0024451,0.009722617043268893,0.17008,-0.1361,-0.000864,-0.004082,-8e-05,0.013932,-0.016687,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-0.0002891,-0.0004014,17.493232454090005,29,112,5376,0.80903,82.78205780599819,82.78206076800052,0.5093,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,112,28.0,True,5376,0.347569
45897389aa70f53071c6b437,lhs30s2000:19,stage0_scale,48,2,1.0,4.0,4.0,4.0,SUCCESS,True,3.812007,-0.307112,-2.118323,-5.453672,0.003742,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,1.9774,0.0,0.60024,False,0.0030824,0.009380673672579797,0.1702,-0.08513,-0.000599,-0.003008,2.2e-05,0.012356,-0.010315,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-0.0002267,-0.0002225,18.143686257576952,29,112,5376,1.0205,82.1861367599995,82.18613919599738,0.7804,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,112,28.0,True,5376,0.333553
b45ba1fea68e9022d598fccd,lhs30s2000:20,stage0_scale,48,2,1.0,4.0,4.0,4.0,SUCCESS,True,3.763081,-0.295497,-1.973682,-4.848818,0.004413,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,1.9066,0.0,0.61083,False,0.005163,0.011683926949051416,0.23698,-0.1107,-0.000908,-0.002591,0.000156,0.010202,-0.007068,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-0.0001177,-0.0002017,20.28256433246869,29,112,5376,0.92951,82.469071386,82.46907350399852,0.8824,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,112,28.0,True,5376,0.320369
03f30ff52153c6415edd533b,lhs30s2000:21,stage0_scale,48,2,1.0,4.0,4.0,4.0,SUCCESS,True,3.549714,-0.273544,-1.905839,-4.796055,0.003544,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,1.8852,0.0,0.66939,False,0.0031243,0.009198372967181798,0.1643,-0.07882,-0.000707,-0.002974,6.5e-05,0.012598,-0.009038,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-0.0002646,-0.0004103,17.861854546036994,29,112,5376,1.0299,82.58363253599964,82.5836347580007,0.7869,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,112,28.0,True,5376,0.359394
e4c4cc23fdffc99e141dab4d,lhs30s2000:22,stage0_scale,48,2,1.0,4.0,4.0,4.0,SUCCESS,True,4.349872,-0.369887,-3.306236,-9.316474,0.00465,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,2.4177,0.0,0.54688,False,0.0031407,0.009653072354282395,0.1904,-0.13172,-0.001097,-0.00398,-8e-06,0.01365,-0.013954,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-0.0004927,-0.0008584,19.72429015468146,29,112,5376,1.1101,83.38271814399923,83.38272068600054,0.6792,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,112,28.0,True,5376,0.415673
