"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          54,      -8.575751463,      -6.490419993,      -7.851709392,       -4.74668291,      -10.48041797,   1.230050987e-08,   0.0009893968524,               100,               100,               100,       6409.460359,    0.002866098387,     -0.1882818653,                 0,                 0,                 0,     -0.1407303048,    0.002866098387,     -0.1882818653,                 0,      -65.69274318,              -nan
          0,           0,          55,      -8.575817605,      -6.490790142,       -7.85202196,      -4.747000865,       -10.4807367,   1.230052049e-08,   0.0009893968523,               100,               100,               100,       6409.460359,    0.002866097285,     -0.1882818681,                 0,                 0,                 0,     -0.1407303069,    0.002866097285,     -0.1882818681,                 0,      -65.69276944,              -nan
          0,           0,          56,       -8.57588375,      -6.491160313,      -7.852334566,      -4.747318799,      -10.48105542,   1.230053113e-08,   0.0009893968523,               100,               100,               100,       6409.460359,    0.002866096183,      -0.188281871,                 0,                 0,                 0,     -0.1407303091,    0.002866096183,      -0.188281871,                 0,      -65.69279568,              -nan
          0,           0,          57,      -8.575949897,      -6.491530505,      -7.852647064,      -4.747636713,      -10.48137412,    1.23005418e-08,   0.0009893968522,               100,               100,               100,       6409.460359,    0.002866095082,     -0.1882818738,                 0,                 0,                 0,     -0.1407303112,    0.002866095082,     -0.1882818738,                 0,       -65.6928219,              -nan
          0,           0,          58,      -8.576016046,      -6.491900717,      -7.852959635,      -4.747954616,      -10.48169279,    1.23005525e-08,   0.0009893968521,               100,               100,               100,       6409.460359,    0.002866093982,     -0.1882818766,                 0,                 0,                 0,     -0.1407303133,    0.002866093982,     -0.1882818766,                 0,       -65.6928481,              -nan
          0,           0,          59,      -8.576082198,      -6.492270951,      -7.853272142,      -4.748272505,      -10.48201145,   1.230056323e-08,    0.000989396852,               100,               100,               100,       6409.460359,    0.002866092883,     -0.1882818794,                 0,                 0,                 0,     -0.1407303155,    0.002866092883,     -0.1882818794,                 0,      -65.69287428,              -nan
          0,           0,          60,      -8.576148353,      -6.492641205,      -7.853584736,      -4.748590392,      -10.48233009,   1.230057399e-08,    0.000989396852,               100,               100,               100,       6409.460359,    0.002866091785,     -0.1882818823,                 0,                 0,                 0,     -0.1407303176,    0.002866091785,     -0.1882818823,                 0,      -65.69290043,              -nan
          0,           0,          61,       -8.57621451,       -6.49301148,      -7.853897262,      -4.748908232,       -10.4826487,   1.230058478e-08,   0.0009893968519,               100,               100,               100,       6409.460359,    0.002866090688,     -0.1882818851,                 0,                 0,                 0,     -0.1407303197,    0.002866090688,     -0.1882818851,                 0,      -65.69292657,              -nan
          0,           0,          62,      -8.576280669,      -6.493381776,      -7.854209735,      -4.749226034,       -10.4829673,    1.23005956e-08,   0.0009893968518,               100,               100,               100,       6409.460359,    0.002866089591,     -0.1882818879,                 0,                 0,                 0,     -0.1407303218,    0.002866089591,     -0.1882818879,                 0,      -65.69295269,              -nan
          0,           0,          63,      -8.576346831,      -6.493752094,      -7.854522301,      -4.749543873,      -10.48328587,   1.230060645e-08,   0.0009893968518,               100,               100,               100,       6409.460359,    0.002866088495,     -0.1882818907,                 0,                 0,                 0,      -0.140730324,    0.002866088495,     -0.1882818907,                 0,      -65.69297879,              -nan
          0,           0,          64,      -8.576412996,      -6.494122432,      -7.854834881,      -4.749861685,      -10.48360443,   1.230061733e-08,   0.0009893968517,               100,               100,               100,       6409.460359,      0.0028660874,     -0.1882818936,                 0,                 0,                 0,     -0.1407303261,      0.0028660874,     -0.1882818936,                 0,      -65.69300487,              -nan
          0,           0,          65,      -8.576479162,      -6.494492791,       -7.85514732,      -4.750179434,      -10.48392296,   1.230062823e-08,   0.0009893968516,               100,               100,               100,       6409.460359,    0.002866086306,     -0.1882818964,                 0,                 0,                 0,     -0.1407303282,    0.002866086306,     -0.1882818964,                 0,      -65.69303093,              -nan
          0,           0,          66,      -8.576545332,       -6.49486317,      -7.855459881,      -4.750497207,      -10.48424148,   1.230063917e-08,   0.0009893968515,               100,               100,               100,       6409.460359,    0.002866085213,     -0.1882818992,                 0,                 0,                 0,     -0.1407303303,    0.002866085213,     -0.1882818992,                 0,      -65.69305697,              -nan
          0,           0,          67,      -8.576611504,      -6.495233571,      -7.855772339,      -4.750814938,      -10.48455997,   1.230065013e-08,   0.0009893968515,               100,               100,               100,       6409.460359,    0.002866084121,      -0.188281902,                 0,                 0,                 0,     -0.1407303324,    0.002866084121,      -0.188281902,                 0,      -65.69308299,              -nan
          0,           0,          68,      -8.576677678,      -6.495603993,      -7.856084899,       -4.75113266,      -10.48487844,   1.230066113e-08,   0.0009893968514,               100,               100,               100,       6409.460359,    0.002866083029,     -0.1882819048,                 0,                 0,                 0,     -0.1407303345,    0.002866083029,     -0.1882819048,                 0,      -65.69310899,              -nan
          0,           0,          69,      -8.576743855,      -6.495974436,      -7.856397366,      -4.751450352,       -10.4851969,   1.230067215e-08,   0.0009893968513,               100,               100,               100,       6409.460359,    0.002866081939,     -0.1882819076,                 0,                 0,                 0,     -0.1407303367,    0.002866081939,     -0.1882819076,                 0,      -65.69313496,              -nan
          0,           0,          70,      -8.576810034,      -6.496344899,      -7.856709966,      -4.751768085,      -10.48551533,    1.23006832e-08,   0.0009893968512,               100,               100,               100,       6409.460359,    0.002866080849,     -0.1882819104,                 0,                 0,                 0,     -0.1407303388,    0.002866080849,     -0.1882819104,                 0,      -65.69316092,              -nan
          0,           0,          71,      -8.576876216,      -6.496715384,      -7.857022374,      -4.752085705,      -10.48583374,   1.230069428e-08,   0.0009893968512,               100,               100,               100,       6409.460359,     0.00286607976,     -0.1882819132,                 0,                 0,                 0,     -0.1407303409,     0.00286607976,     -0.1882819132,                 0,      -65.69318686,              -nan
          0,           0,          72,        -8.5769424,      -6.497085889,      -7.857334821,      -4.752403337,      -10.48615213,   1.230070539e-08,   0.0009893968511,               100,               100,               100,       6409.460359,    0.002866078671,      -0.188281916,                 0,                 0,                 0,      -0.140730343,    0.002866078671,      -0.188281916,                 0,      -65.69321278,              -nan
          0,           0,          73,      -8.577008587,      -6.497456415,      -7.857647444,      -4.752721025,       -10.4864705,   1.230071653e-08,    0.000989396851,               100,               100,               100,       6409.460359,    0.002866077584,     -0.1882819188,                 0,                 0,                 0,     -0.1407303451,    0.002866077584,     -0.1882819188,                 0,      -65.69323868,              -nan
          0,           0,          74,      -8.577074777,      -6.497826962,      -7.857959907,      -4.753038622,      -10.48678885,    1.23007277e-08,    0.000989396851,               100,               100,               100,       6409.460359,    0.002866076498,     -0.1882819216,                 0,                 0,                 0,     -0.1407303472,    0.002866076498,     -0.1882819216,                 0,      -65.69326456,              -nan
          0,           0,          75,      -8.577140968,       -6.49819753,      -7.858272283,      -4.753356162,      -10.48710718,    1.23007389e-08,   0.0009893968509,               100,               100,               100,       6409.460359,    0.002866075412,     -0.1882819244,                 0,                 0,                 0,     -0.1407303493,    0.002866075412,     -0.1882819244,                 0,      -65.69329042,              -nan
