# x/c  z/c_upper  z/c_lower   median camber and thickness of 17 scanned sections, Savitzky-Golay window 41
0.0061684 0.0208848 -0.0157653
0.0062472 0.0209909 -0.0158737
0.0063266 0.0210982 -0.0159831
0.0064064 0.0212052 -0.0160919
0.0064867 0.0213114 -0.0161999
0.0065676 0.0214166 -0.0163069
0.0066489 0.0215215 -0.0164138
0.0067307 0.0216266 -0.0165210
0.0068131 0.0217317 -0.0166285
0.0068959 0.0218367 -0.0167364
0.0069792 0.0219415 -0.0168445
0.0070631 0.0220459 -0.0169530
0.0071474 0.0221501 -0.0170615
0.0072322 0.0222540 -0.0171702
0.0073176 0.0223577 -0.0172788
0.0074034 0.0224610 -0.0173873
0.0074897 0.0225640 -0.0174958
0.0075766 0.0226665 -0.0176042
0.0076639 0.0227687 -0.0177124
0.0077517 0.0228704 -0.0178204
0.0078401 0.0229716 -0.0179282
0.0079289 0.0230722 -0.0180359
0.0080183 0.0231723 -0.0181434
0.0081081 0.0232718 -0.0182507
0.0081984 0.0233708 -0.0183577
0.0082893 0.0234694 -0.0184646
0.0083806 0.0235677 -0.0185712
0.0084725 0.0236657 -0.0186775
0.0085648 0.0237633 -0.0187833
0.0086577 0.0238604 -0.0188885
0.0087510 0.0239571 -0.0189932
0.0088448 0.0240535 -0.0190971
0.0089392 0.0241496 -0.0192004
0.0090340 0.0242455 -0.0193031
0.0091294 0.0243411 -0.0194050
0.0092252 0.0244367 -0.0195064
0.0093216 0.0245320 -0.0196071
0.0094184 0.0246273 -0.0197074
0.0095158 0.0247225 -0.0198071
0.0096136 0.0248177 -0.0199065
0.0097120 0.0249129 -0.0200053
0.0098108 0.0250082 -0.0201039
0.0099102 0.0251037 -0.0202021
0.0100100 0.0251994 -0.0203001
0.0101104 0.0252953 -0.0203979
0.0102112 0.0253916 -0.0204956
0.0103126 0.0254883 -0.0205933
0.0104144 0.0255853 -0.0206909
0.0105168 0.0256825 -0.0207882
0.0106196 0.0257801 -0.0208852
0.0107230 0.0258780 -0.0209820
0.0108268 0.0259764 -0.0210790
0.0109312 0.0260755 -0.0211765
0.0110360 0.0261751 -0.0212743
0.0111414 0.0262750 -0.0213724
0.0112472 0.0263750 -0.0214706
0.0113536 0.0264750 -0.0215688
0.0114605 0.0265747 -0.0216671
0.0115678 0.0266739 -0.0217653
0.0116757 0.0267721 -0.0218629
