"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          27,      -11.32763678,      -9.681263648,      -10.29708766,      -10.98085729,       -12.4795147,      -5.456923082,      -3.433830934,   9.949888966e-05,       6.460275033,                40,                40,                40,    0.001789260784,     0.01075755135,      0.6050586025,                 0,                 0,                 0,     0.07812645688,    -0.01036524256,      0.6050654503,                 0,       56.24501178,    0.002390236486
          0,           0,          28,      -11.32755408,      -9.681265929,      -10.29699909,      -10.98077988,      -12.47951477,      -5.456959967,      -3.433748922,    9.94988902e-05,       6.460275035,                40,                40,                40,    0.001789260784,     0.01075713637,      0.6050529689,                 0,                 0,                 0,     0.07812569859,    -0.01036546068,      0.6050598057,                 0,       56.24665784,    0.002390236486
          0,           0,          29,      -11.32747125,      -9.681268183,      -10.29691052,      -10.98070213,      -12.47951477,      -5.456996814,      -3.433668179,   9.949889073e-05,       6.460275036,                40,                40,                40,    0.001789260784,     0.01075672175,      0.6050473339,                 0,                 0,                 0,     0.07812494026,    -0.01036567839,      0.6050541596,                 0,       56.24830205,    0.002390236486
          0,           0,          30,      -11.32738842,       -9.68127041,      -10.29682197,      -10.98062421,      -12.47951469,      -5.457033624,      -3.433588346,   9.949889126e-05,       6.460275037,                40,                40,                40,    0.001789260784,     0.01075630748,      0.6050416975,                 0,                 0,                 0,     0.07812418191,     -0.0103658957,      0.6050485122,                 0,       56.24994439,    0.002390236486
          0,           0,          31,      -11.32730562,      -9.681272604,      -10.29673343,      -10.98054615,      -12.47951453,      -5.457070398,      -3.433509445,   9.949889179e-05,       6.460275038,                40,                40,                40,    0.001789260784,     0.01075589357,      0.6050360597,                 0,                 0,                 0,     0.07812342355,     -0.0103661126,      0.6050428634,                 0,       56.25158485,    0.002390236486
          0,           0,          32,      -11.32723405,      -9.681274773,      -10.29664493,      -10.98048183,      -12.47951431,      -5.457107135,       -3.43343145,   9.949889232e-05,       6.460275039,                40,                40,                40,    0.001789260784,     0.01075548002,      0.6050304205,                 0,                 0,                 0,      0.0781226652,     -0.0103663291,      0.6050372132,                 0,       56.25322343,    0.002390236486
          0,           0,          33,      -11.32713921,      -9.681276919,      -10.29655643,      -10.98038714,        -12.479514,      -5.457143824,      -3.433354317,   9.949889285e-05,        6.46027504,                40,                40,                40,    0.001789260784,     0.01075506682,      0.6050247799,                 0,                 0,                 0,     0.07812190685,    -0.01036654518,      0.6050315616,                 0,       56.25486014,    0.002390236486
          0,           0,          34,      -11.32704775,      -9.681279042,      -10.29646786,      -10.98029723,      -12.47951362,      -5.457180477,      -3.433277969,   9.949889339e-05,       6.460275041,                40,                40,                40,    0.001789260784,     0.01075465398,      0.6050191379,                 0,                 0,                 0,     0.07812114851,    -0.01036676087,      0.6050259086,                 0,       56.25649501,    0.002390236486
          0,           0,          35,      -11.32697223,       -9.68128113,      -10.29637931,      -10.98022716,      -12.47951316,      -5.457217093,      -3.433202411,   9.949889392e-05,       6.460275042,                40,                40,                40,    0.001789260784,     0.01075424148,      0.6050134945,                 0,                 0,                 0,     0.07812039016,    -0.01036697617,      0.6050202543,                 0,       56.25812807,    0.002390236486
          0,           0,          36,      -11.32689334,      -9.681283181,      -10.29629084,       -10.9801523,      -12.47951263,      -5.457254138,      -3.433127609,   9.949889445e-05,       6.460275043,                40,                40,                40,    0.001789260784,     0.01075382932,      0.6050078498,                 0,                 0,                 0,      0.0781196318,    -0.01036719108,      0.6050145986,                 0,       56.25975936,    0.002390236486
          0,           0,          37,       -11.3268124,      -9.681285197,      -10.29620243,      -10.98007451,      -12.47951202,      -5.457291833,      -3.433053524,   9.949889498e-05,       6.460275045,                40,                40,                40,    0.001789260784,     0.01075341749,      0.6050022035,                 0,                 0,                 0,     0.07811887342,    -0.01036740561,      0.6050089414,                 0,       56.26138892,    0.002390236486
