case,kind,policy,placement_n_sections,ramp_fraction,max_gap_ratio,sections_in_band,solver_n_strips,solver_n_vortices,worst_all_error,worst_control_error,err_CL,err_CDind,err_CDtotal,err_Cm,err_e,err_Xnp,err_CLa,err_Cma,err_Clp,err_Cmq,err_Cnb,err_CL_de,err_Cm_de,err_Cl_da,err_Cn_da,err_CY_da
elevon_narrow,constructed,proposed_sqrt_sum_w0,25,0.9579785268330934,2.4200519328519627,4,192,4608,0.03756416238917398,0.03756416238917398,0.001147710317915791,0.00584116101532472,0.012226834724817595,0.003013894564773087,0.00562572975268027,4.1816883865594566e-05,0.0005612394926029796,0.00036844963634238793,0.0002289886763486554,0.0014335016933164852,0.001968503937007908,0.03756416238917398,0.037222222222222226,0.03241491085899522,0.022727272727272665,0.03333333333333332
elevon_narrow,constructed,proposed_sqrt_sum_w3_gap15,25,0.6684139339196433,1.4715081372010514,5,192,4608,0.027998133457769355,0.027998133457769355,0.00043039136921836185,0.005004095279769378,0.018122223550655087,0.0007151614221495772,0.005307292219509611,0.0002627908990734605,0.00011006680091092284,0.00022319954848944973,0.0014685280904304526,0.0010488913132637586,0.0017031311410978633,0.027998133457769355,0.02722222222222222,0.024311183144246417,0.022727272727272665,0.024242424242424173
elevon_wide,constructed,uniform_pinned25,25,0.1284722222222223,1.5200000000000005,12,192,4608,0.024354217037390023,0.012820512820512785,0.0016873753643196654,0.003609495095333209,0.024354217037390023,0.0019975681778704878,0.0004472271914131887,0.00017009238702293337,0.0002619567636676849,6.0130239540182254e-05,0.0007592401137246082,0.000480431980119364,0.002357479639948505,0.003912574203993575,0.003952569169960427,0.004753102719830944,0.012820512820512785,0.004921259842519698
elevon_wide,constructed,current_sum_sqrt_w3,25,0.06063425935476745,2.37360502108455,14,192,4608,0.014119393983335476,0.004310344827586195,0.0014831483659797087,0.007586089328332663,0.014119393983335476,0.0005221477678183317,0.0017865118356408384,1.7907507722630614e-05,0.0016540429284907286,0.00013261010369596308,0.0008083159545402217,0.0011819133317593966,0.0029985007496252138,0.0008804009210347504,0.0021494708994708976,0.0002652519893898406,0.004310344827586195,0.0009891196834816182
elevon_wide,constructed,proposed_sqrt_sum_w3,25,0.06916611379308285,2.447626336923884,14,192,4608,0.010743633523332904,0.00462962962962967,0.0005886719049934938,0.007372996931469466,0.010743633523332904,0.001784004873379139,0.0003354579000335089,2.6860540075869823e-05,0.001352263327902791,0.00039319206280841884,0.0005399550576328394,0.0020439889938014804,0.002250562640660185,0.0031829879452797078,0.00462962962962967,0.0013266118333776146,0.0,0.002967359050445069
elevon_wide,constructed,proposed_max_channel_w3,25,0.04250919533551982,2.5151344073623036,13,192,4608,0.010646952580494707,0.00858369098712444,0.0015597432815975848,0.006793385612001238,0.010646952580494707,0.0003916108258637488,0.0015635470180924245,1.7907187049540234e-05,0.0016667081081327504,0.00011385068163299282,0.0007307176229044538,0.0013531463819672427,0.0029985007496252138,0.0009481240688067265,0.0020667989417990007,0.001589403973509915,0.00858369098712444,0.0
elevon_wide,constructed,proposed_sqrt_sum_w3_no_thickness,25,0.046942207983095265,2.3320389358472466,13,192,4608,0.00858369098712444,0.00858369098712444,0.0007421245233769543,0.006409819297647394,0.005922345054802091,0.0013053694195457085,0.00022366360993063966,5.073536433957253e-05,0.0012343905314148556,0.0003492671360520886,0.00026512763308912814,0.0018383066908892489,0.0034253907086276006,0.00230258702424484,0.003389550264550356,0.0005303632988596743,0.00858369098712444,0.0009891196834816182
elevon_wide,constructed,proposed_max_channel_w3_no_thickness,25,0.045658093885120904,2.5467335187607176,13,192,4608,0.016231057633997344,0.00858369098712444,0.001610800030681955,0.0064524377770200925,0.016231057633997344,0.00026107388390916587,0.0012289129706177968,5.371963721343708e-05,0.001666454807689169,0.00013218376101167926,0.0004785230450878041,0.0013730729104923416,0.003745318352059773,0.0013544629554381137,0.0024801587301587725,0.0013248542660306826,0.00858369098712444,0.0
elevon_wide,constructed,proposed_sqrt_sum_w1,25,0.07497714315532837,1.8536852054450739,14,192,4608,0.0065888169110125214,0.004133597883598001,0.0002560294945977495,0.0065888169110125214,0.005119379257578647,0.0014359063615002913,0.00022371364653241385,1.1938338481753744e-05,0.0009972932425512512,9.509959870531672e-05,0.0006531192912685063,0.0010469870920000665,0.0019296740994853045,0.0033861573885954014,0.004133597883598001,0.0015919342000531606,0.0,0.002967359050445069
elevon_wide,constructed,proposed_sqrt_sum_w0,25,0.08705241829058824,1.7694664709634198,14,192,4608,0.005704365079365191,0.005704365079365191,0.0004097520999794957,0.004653937947494045,0.00284712534929538,0.0018710295013488207,0.001901565995525766,4.4766765153511946e-05,0.0006669445178861758,0.00023625640216475919,0.0002748274245437113,0.001243212737307164,0.002678093197643169,0.005282405526208855,0.005704365079365191,0.0021225789334041374,0.004310344827586195,0.002967359050445069
