campaign,config_key,eps_e,first_cell_fraction,normal_points,volume_level,preferred_quality,geometry_id,geometry_index,template_index,attempt_ordinal,n_attempts_for_geometry,state,outcome,selected,min_scaled_quality,surface_min_scaled_jacobian,inverted_cells,min_volume,distance_rms,elapsed_s,wall_error_m,interface_max_mismatch_m,is_identity,row_state,accepted_template_index,accepted_min_scaled_quality
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_008,8,41,7,9,FAIL,FAIL_LOW_QUALITY,False,-0.004744279982369473,0.23916848476018657,0.0,5.760342550480704e-12,0.4146954052411895,7.968750705000275,1.734723475976807e-18,3.552713678800501e-15,False,PASS,47.0,0.15015272767080703
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_008,8,42,2,9,PASS,PASS,False,0.14630802809052135,0.23916848476018657,0.0,5.896240540308751e-12,0.3193085708500332,13.212542998997378,3.469446951953614e-18,3.552713678800501e-15,False,PASS,47.0,0.15015272767080703
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_008,8,47,9,9,PASS,PASS,True,0.15015272767080703,0.23916848476018657,0.0,6.23901267382726e-12,0.4409458967377232,12.113475488000404,3.469446951953614e-18,3.552713678800501e-15,False,PASS,47.0,0.15015272767080703
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_008,8,68,1,9,PASS,PASS,False,0.14358066323819585,0.23916848476018657,0.0,8.021771245380912e-12,0.3112473186448723,12.429800708003313,1.734723475976807e-18,3.552713678800501e-15,False,PASS,47.0,0.15015272767080703
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_008,8,70,8,9,FAIL,FAIL_FOLDED,False,-0.4066517339154183,0.23916848476018657,7989.0,-5.661730190652049e-08,0.4166968644251187,8.549637784999504,3.469446951953614e-18,3.552713678800501e-15,False,PASS,47.0,0.15015272767080703
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_008,8,81,3,9,FAIL,FAIL_FOLDED,False,-0.12588917338830277,0.23916848476018657,303.0,-4.248644692857245e-09,0.3720754663008028,7.911171201998513,1.734723475976807e-18,3.552713678800501e-15,False,PASS,47.0,0.15015272767080703
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_009,9,42,1,1,PASS,PASS,True,0.24083434770609752,0.2442249070611215,0.0,6.539842919167983e-12,0.34645052498825296,13.094392910999886,3.469446951953614e-18,3.552713678800501e-15,False,PASS,42.0,0.24083434770609752
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_010,10,56,1,1,PASS,PASS,True,0.21779897553921623,0.24277627294417248,0.0,6.0489232002947266e-12,0.3262174851747543,16.10744909099958,3.469446951953614e-18,3.552713678800501e-15,False,PASS,56.0,0.21779897553921623
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_011,11,2,3,3,PASS,PASS,True,0.1628320393122548,0.24415796099340797,0.0,7.506805710862283e-12,0.3822039172375692,12.3759571949995,6.938893903907228e-18,3.552713678800501e-15,False,PASS,2.0,0.1628320393122548
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_011,11,56,1,3,FAIL,FAIL_LOW_QUALITY,False,0.09464685561094333,0.24415796099340797,0.0,5.505635308342085e-12,0.34490799233789393,8.24855232900154,3.469446951953614e-18,3.552713678800501e-15,False,PASS,2.0,0.1628320393122548
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_011,11,70,2,3,FAIL,FAIL_FOLDED,False,-0.014376711698128207,0.24415796099340797,23.0,-4.435109981184337e-10,0.3777825339237227,8.474690889001067,3.469446951953614e-18,3.552713678800501e-15,False,PASS,2.0,0.1628320393122548
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_012,12,24,1,3,FAIL,FAIL_FOLDED,False,-0.9979501437984624,0.2338836097740444,21188.0,-1.868136121212837e-07,0.3180713788855776,8.195399082000222,3.469446951953614e-18,3.552713678800501e-15,False,PASS,68.0,0.16240170374886362
development_atlas_maximin16_production_written_v2,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_012,12,68,3,3,PASS,PASS,True,0.16240170374886362,0.2338836097740444,0.0,7.242738902177199e-12,0.3689026354269919,11.474711055001535,3.469446951953614e-18,3.552713678800501e-15,False,PASS,68.0,0.16240170374886362
development_atlas_qualified21_production_written_v3,1.5|3.5999999999999994e-06|257|production,1.5,3.5999999999999994e-06,257.0,production,0.15,lhs100_seed42_012,12,89,1,4,FAIL,FAIL_LOW_QUALITY,False,0.07446238068086351,0.2338836097740444,0.0,8.358229133655329e-12,0.24873314769708302,8.414726268001687,3.469446951953614e-18,3.552713678800501e-15,False,PASS,68.0,0.16240170374886362
