"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,        1847,      -6.809376342,      -3.623216795,      -3.972686083,      -1.396511555,      -7.221317074,       2884.257161,     0.01505519501,       1.101924882,                 0,                 0,                 0,   -0.003404829942,     -0.1765207749,       1.087798474,                 0,       73.19233534,     0.03438518899
          0,           0,        1848,      -6.773976262,      -3.623215874,      -3.968590518,      -1.349098544,      -7.221324639,       2884.257161,     0.01505518467,       1.101924496,                 0,                 0,                 0,   -0.003404958329,      -0.176520718,       1.087798092,                 0,       73.19235993,     0.03438518899
          0,           0,        1849,      -6.725474841,      -3.623208184,       -3.96289998,      -1.287797779,        -7.2213322,       2884.257161,     0.01505516529,       1.101923853,                 0,                 0,                 0,   -0.003405274121,     -0.1765206255,       1.087797456,                 0,       73.19241149,     0.03438518899
          0,           0,        1850,      -6.713591748,      -3.623226394,      -3.963442714,      -1.273255471,      -7.221339758,       2884.257161,     0.01505514551,       1.101923205,                 0,                 0,                 0,   -0.003405592745,     -0.1765205325,       1.087796815,                 0,       73.19246463,     0.03438518899
          0,           0,        1851,      -6.773145403,      -3.623280048,      -3.972777119,      -1.347753427,      -7.221347312,       2884.257161,     0.01505514385,       1.101923081,                 0,                 0,                 0,   -0.003405525271,     -0.1765205126,       1.087796692,                 0,       73.19246444,     0.03438518899
          0,           0,        1852,      -6.821530456,      -3.623307062,      -3.975731409,      -1.413175807,      -7.221354862,       2884.257161,      0.0150551527,       1.101923253,                 0,                 0,                 0,   -0.003405240715,     -0.1765205337,       1.087796863,                 0,       73.19243284,     0.03438518899
          0,           0,        1853,      -6.809903649,      -3.623310854,      -3.972761019,      -1.397226377,      -7.221362409,       2884.257161,      0.0150551536,       1.101923189,                 0,                 0,                 0,   -0.003405131366,     -0.1765205217,         1.0877968,                 0,       73.19242424,     0.03438518899
          0,           0,        1854,       -6.77368952,      -3.623309709,      -3.968574907,      -1.348707407,      -7.221369952,       2884.257161,     0.01505514315,       1.101922797,                 0,                 0,                 0,   -0.003405263886,     -0.1765204639,       1.087796412,                 0,       73.19244898,     0.03438518899
          0,           0,        1855,      -6.726735397,       -3.62330288,      -3.963079574,      -1.289336139,      -7.221377491,       2884.257161,     0.01505512424,       1.101922166,                 0,                 0,                 0,   -0.003405571441,      -0.176520373,       1.087795787,                 0,       73.19249901,     0.03438518899
          0,           0,        1856,      -6.716889853,      -3.623322668,      -3.964013456,      -1.277243004,      -7.221385027,       2884.257161,     0.01505510517,       1.101921536,                 0,                 0,                 0,   -0.003405877135,     -0.1765202824,       1.087795164,                 0,       73.19254991,     0.03438518899
