# NACA 4412, alpha=13.87, Re=1.52 million, 897x257 grid, CFL3D with SA model
#    x = x/c
#    y = y/c
#    uv = (u'v'/Uinf^2)/(0.93^2)
#    (0.93^2 needed to put normalization in terms of experimental ref location below and behind airfoil)
VARIABLES = "x","y","uv"
ZONE T="x=.6753"
 7.035405040E-01 2.426005304E-01 7.917150491E-09
 7.049834728E-01 2.513885796E-01 9.894273845E-09
 7.065002322E-01 2.606256902E-01 1.185091580E-08
 7.080944777E-01 2.703347802E-01 1.377965031E-08
 7.097701430E-01 2.805399597E-01 1.564747798E-08
 7.115314603E-01 2.912665904E-01 1.743966749E-08
 7.133827806E-01 3.025413454E-01 1.916967562E-08
 7.153286934E-01 3.143922091E-01 2.080808592E-08
 7.173740864E-01 3.268485963E-01 2.237452534E-08
 7.195239067E-01 3.399414718E-01 2.384976838E-08
 7.217836380E-01 3.537033498E-01 2.521605325E-08
ZONE T="x=.7308"
 7.307999730E-01 6.140028313E-02 -2.711079625E-12
 7.308003306E-01 6.140225381E-02 -1.030583344E-11
 7.308006883E-01 6.140422821E-02 -3.499758816E-11
 7.308010459E-01 6.140621379E-02 -8.839700499E-11
 7.308014035E-01 6.140821055E-02 -1.944294309E-10
 7.308017612E-01 6.141022965E-02 -3.783915126E-10
 7.308021188E-01 6.141227484E-02 -6.874327219E-10
 7.308024764E-01 6.141434982E-02 -1.149109030E-09
 7.308028340E-01 6.141645461E-02 -1.877221267E-09
 7.308031917E-01 6.141860411E-02 -2.843197455E-09
 7.308036089E-01 6.142079830E-02 -4.381662144E-09
 7.308040261E-01 6.142304465E-02 -6.175881584E-09
 7.308043838E-01 6.142534688E-02 -9.168683590E-09
 7.308048010E-01 6.142770872E-02 -1.252805504E-08
 7.308052182E-01 6.143014133E-02 -1.781080350E-08
 7.308056951E-01 6.143264845E-02 -2.409251287E-08
 7.308061123E-01 6.143523380E-02 -3.276693761E-08
 7.308065891E-01 6.143790856E-02 -4.412044419E-08
 7.308071256E-01 6.144067645E-02 -5.772659151E-08
 7.308076024E-01 6.144354120E-02 -7.769089194E-08
 7.308081388E-01 6.144651771E-02 -1.014375002E-07
 7.308086753E-01 6.144960597E-02 -1.319401690E-07
 7.308092117E-01 6.145282090E-02 -1.738452937E-07
 7.308098078E-01 6.145616248E-02 -2.236384233E-07
 7.308104038E-01 6.145964563E-02 -2.892806208E-07
 7.308110595E-01 6.146327406E-02 -3.766878365E-07
 7.308117151E-01 6.146705896E-02 -4.822013011E-07
 7.308124304E-01 6.147101149E-02 -6.164740967E-07
 7.308131456E-01 6.147513911E-02 -8.013954584E-07
 7.308139205E-01 6.147945300E-02 -1.026501650E-06
 7.308146954E-01 6.148396060E-02 -1.304524289E-06
 7.308155298E-01 6.148868054E-02 -1.683342816E-06
 7.308164239E-01 6.149361655E-02 -2.164248144E-06
 7.308173180E-01 6.149878725E-02 -2.762179520E-06
 7.308182716E-01 6.150420010E-02 -3.512307785E-06
 7.308192253E-01 6.150987372E-02 -4.519845334E-06
 7.308202982E-01 6.151581928E-02 -5.808090918E-06
 7.308213711E-01 6.152205169E-02 -7.417790130E-06
 7.308225632E-01 6.152858585E-02 -9.434471394E-06
 7.308237553E-01 6.153543666E-02 -1.202826297E-05
 7.308250070E-01 6.154262647E-02 -1.549280569E-05
 7.308263183E-01 6.155017018E-02 -1.977813190E-05
 7.308277488E-01 6.155808643E-02 -2.513790605E-05
 7.308291793E-01 6.156639382E-02 -3.178123006E-05
 7.308307290E-01 6.157511100E-02 -4.021081259E-05
 7.308323383E-01 6.158426777E-02 -5.109245467E-05
 7.308340073E-01 6.159387901E-02 -6.420136197E-05
 7.308357954E-01 6.160397083E-02 -8.005582640E-05
 7.308376431E-01 6.161456928E-02 -9.898433927E-05
 7.308396101E-01 6.162570044E-02 -1.214857184E-04
 7.308416367E-01 6.163739040E-02 -1.481130894E-04
 7.308438420E-01 6.164967269E-02 -1.784604246E-04
 7.308461070E-01 6.166257337E-02 -2.119667915E-04
 7.308484912E-01 6.167612597E-02 -2.484293072E-04
 7.308509946E-01 6.169036031E-02 -2.873018093E-04
 7.308536172E-01 6.170532107E-02 -3.280238307E-04
 7.308563590E-01 6.172103435E-02 -3.694334300E-04
 7.308592796E-01 6.173754856E-02 -4.104279797E-04
 7.308623195E-01 6.175490096E-02 -4.506522964E-04
 7.308655381E-01 6.177313253E-02 -4.898189800E-04
 7.308688760E-01 6.179229170E-02 -5.276549491E-04
 7.308723927E-01 6.181242317E-02 -5.640446325E-04
 7.308761477E-01 6.183357909E-02 -5.988912308E-04
 7.308800220E-01 6.185581163E-02 -6.320019020E-04
 7.308841348E-01 6.187917665E-02 -6.641750806E-04
 7.308884263E-01 6.190373376E-02 -6.956212455E-04
 7.308930159E-01 6.192953885E-02 -7.265800959E-04
 7.308977842E-01 6.195665896E-02 -7.572463946E-04
 7.309027910E-01 6.198516488E-02 -7.878608303E-04
 7.309080362E-01 6.201511994E-02 -8.184417384E-04
 7.309135795E-01 6.204660609E-02 -8.493094356E-04
 7.309193611E-01 6.207969412E-02 -8.806806291E-04
 7.309255004E-01 6.211447343E-02 -9.127218509E-04
 7.309318781E-01 6.215102598E-02 -9.455282125E-04
 7.309386730E-01 6.218944490E-02 -9.792386554E-04
 7.309457660E-01 6.222982705E-02 -1.013952191E-03
 7.309532166E-01 6.227226555E-02 -1.049614162E-03
 7.309610248E-01 6.231687218E-02 -1.086429227E-03
 7.309693098E-01 6.236375868E-02 -1.124504954E-03
 7.309779525E-01 6.241303682E-02 -1.163901645E-03
 7.309870124E-01 6.246483326E-02 -1.204701839E-03
 7.309966087E-01 6.251927465E-02 -1.247000298E-03
 7.310066819E-01 6.257649511E-02 -1.290837186E-03
 7.310172319E-01 6.263663620E-02 -1.336175250E-03
 7.310283184E-01 6.269985437E-02 -1.383165829E-03
 7.310400009E-01 6.276629865E-02 -1.431892393E-03
 7.310522795E-01 6.283613294E-02 -1.482420485E-03
 7.310651541E-01 6.290954351E-02 -1.534822397E-03
